,date,BABY.BUNDL,BUY.2.GET,BUY2GET1,KIABI.40TH,LOYALTY,SUPERSALE,VIP.WEEKEN,Quantity
,2018-09-12,1,0,0,0,0,0,0,7700
,2018-09-13,1,0,0,0,1,0,0,19577
,2018-09-14,1,0,0,0,1,0,0,12998
,2018-09-15,1,0,0,0,1,0,0,7977
,2018-09-16,1,0,0,0,1,0,0,6301
,2018-09-17,1,0,0,0,1,0,0,7586
,2018-09-18,1,0,0,0,0,0,0,4587
,2018-09-19,1,0,0,0,1,0,0,5774
,2018-09-20,1,0,0,0,1,0,0,13855
,2018-09-21,1,0,0,0,1,0,0,17109
,2018-09-22,1,0,0,0,1,0,0,7710
,2018-09-23,1,0,0,0,1,0,0,7182
,2018-09-24,0,0,0,0,0,0,0,11564
,2018-09-25,1,0,0,0,1,0,0,5079
,2018-09-26,1,0,0,0,1,0,0,15834
,2018-09-27,1,0,0,0,1,0,1,15628
,2018-09-28,1,0,0,0,1,0,1,22512
,2018-09-29,1,0,0,0,1,0,1,10469
,2018-09-30,1,0,0,0,1,0,0,3295
,2018-10-01,1,0,0,0,1,0,0,20331
,2018-10-02,0,0,0,0,0,0,0,31317
,2018-10-03,1,0,0,0,0,0,0,16942
,2018-10-04,1,0,0,0,1,0,0,15703
,2018-10-05,1,0,0,0,1,0,0,29532
,2018-10-06,1,0,0,0,1,0,0,22641
,2018-10-07,0,0,0,0,1,0,0,10124
,2018-10-08,0,0,0,0,1,0,0,23296
,2018-10-09,1,0,0,0,1,0,0,17629
,2018-10-10,1,0,0,0,1,0,0,20615
,2018-10-11,0,0,0,0,1,0,0,27803
,2018-10-12,1,0,0,0,1,0,0,31480
,2018-10-13,1,0,0,0,1,0,0,24406
,2018-10-14,1,0,0,0,0,0,0,9279
,2018-10-15,1,0,0,0,1,0,0,6891
,2018-10-16,1,0,0,0,1,0,0,11366
,2018-10-17,1,0,0,0,1,0,0,17723
,2018-10-18,1,0,0,0,1,0,0,27694
,2018-10-19,1,0,0,0,1,0,0,29769
,2018-10-20,1,0,0,0,1,0,0,18293
,2018-10-21,1,0,0,0,1,0,0,7897
,2018-10-22,1,0,0,0,1,0,0,18307
,2018-10-23,1,0,0,0,1,0,0,4391
,2018-10-24,0,0,0,0,1,0,0,8061
,2018-10-25,1,0,0,0,1,0,0,12090
,2018-10-26,1,0,0,0,1,0,0,18657
,2018-10-27,1,0,0,0,1,0,0,8837
,2018-10-28,1,0,0,0,1,0,0,7563
,2018-10-29,1,0,0,0,1,0,0,7633
,2018-10-30,1,0,0,0,1,0,0,13039
,2018-10-31,1,0,0,0,0,0,0,22762
,2018-11-01,1,1,0,0,1,0,0,30762
,2018-11-02,1,0,0,0,1,0,0,72224
,2018-11-03,1,0,0,0,1,0,0,53368
,2018-11-04,1,0,0,0,1,0,0,11734
,2018-11-05,1,0,0,0,1,0,0,25704
,2018-11-06,1,0,0,0,1,0,0,21506
,2018-11-07,1,0,0,0,1,0,0,17822
,2018-11-08,1,0,0,0,1,0,0,24320
,2018-11-09,1,0,0,0,1,0,0,93622
,2018-11-10,1,0,0,0,1,0,0,31840
,2018-11-11,1,0,0,0,1,0,0,20885
,2018-11-12,1,0,0,0,1,0,0,16584
,2018-11-13,1,0,0,0,1,0,0,33327
,2018-11-14,1,0,0,0,0,0,0,18634
,2018-11-15,1,0,0,1,0,0,0,26365
,2018-11-16,1,0,0,1,0,0,0,39152
,2018-11-17,1,0,0,1,0,0,0,19329
,2018-11-18,1,0,0,1,0,0,0,17346
,2018-11-19,1,0,0,0,1,0,0,11535
,2018-11-20,1,0,0,0,1,0,0,6011
,2018-11-21,1,0,0,0,1,0,0,15298
,2018-11-22,1,0,0,0,0,1,0,11776
,2018-11-23,1,0,0,0,0,1,0,37252
,2018-11-24,1,0,0,0,0,1,0,28023
,2018-11-25,1,0,0,0,1,1,0,9385
,2018-11-26,1,0,0,0,1,0,0,14360
,2018-11-27,1,0,0,0,1,0,0,20899
,2018-11-28,1,0,0,0,1,0,0,47551
,2018-11-29,1,0,0,0,1,0,0,10365
,2018-11-30,1,0,0,0,1,0,0,12666
,2018-12-01,1,0,0,0,1,0,0,99322
,2018-12-02,1,0,0,0,1,0,0,65720
,2018-12-03,1,0,0,0,1,0,0,43511
