date,Payweek,Weekends,Holidays,Festival,Day_of_Month,Day_of_Week,Week_YearWise,Week_QuarterWise
2014-05-17,0,1,0,0,17,7,20,7
2014-05-18,0,0,0,0,18,1,21,8
2014-05-19,0,0,0,0,19,2,21,8
2014-05-20,0,0,0,0,20,3,21,8
2014-05-21,0,0,0,0,21,4,21,8
2014-05-22,0,1,0,0,22,5,21,8
2014-05-23,0,1,0,0,23,6,21,8
2014-05-24,0,1,0,0,24,7,21,8
2014-05-25,1,0,0,0,25,1,22,9
2014-05-26,1,0,1,1,26,2,22,9
2014-05-27,1,0,0,0,27,3,22,9
2014-05-28,1,0,0,0,28,4,22,9
2014-05-29,1,1,0,0,29,5,22,9
2014-05-30,1,1,0,0,30,6,22,9
2014-05-31,1,1,0,0,31,7,22,9
2014-06-01,1,0,0,0,1,1,23,10
2014-06-02,1,0,0,0,2,2,23,10
2014-06-03,0,0,0,0,3,3,23,10
2014-06-04,0,0,0,0,4,4,23,10
2014-06-05,0,1,0,0,5,5,23,10
2014-06-06,0,1,0,0,6,6,23,10
2014-06-07,0,1,0,0,7,7,23,10
2014-06-08,0,0,0,0,8,1,24,11
2014-06-09,0,0,0,0,9,2,24,11
2014-06-10,0,0,0,0,10,3,24,11
2014-06-11,0,0,0,0,11,4,24,11
2014-06-12,0,1,0,0,12,5,24,11
2014-06-13,0,1,0,0,13,6,24,11
2014-06-14,0,1,0,0,14,7,24,11
2014-06-15,0,0,0,0,15,1,25,12
2014-06-16,0,0,0,0,16,2,25,12
2014-06-17,0,0,0,0,17,3,25,12
2014-06-18,0,0,0,0,18,4,25,12
2014-06-19,0,1,0,0,19,5,25,12
2014-06-20,0,1,0,0,20,6,25,12
2014-06-21,0,1,0,0,21,7,25,12
2014-06-22,0,0,0,0,22,1,26,13
2014-06-23,0,0,0,0,23,2,26,13
2014-06-24,0,0,0,0,24,3,26,13
2014-06-25,1,0,0,0,25,4,26,13
2014-06-26,1,1,0,0,26,5,26,13
2014-06-27,1,1,0,0,27,6,26,13
2014-06-28,1,1,0,1,28,7,26,13
2014-06-29,1,0,0,1,29,1,27,14
2014-06-30,1,0,0,1,30,2,27,14
2014-07-01,1,0,0,1,1,3,27,1
2014-07-02,1,0,0,1,2,4,27,1
2014-07-03,0,1,0,1,3,5,27,1
2014-07-04,0,1,0,1,4,6,27,1
2014-07-05,0,1,0,1,5,7,27,1
2014-07-06,0,0,0,1,6,1,28,2
2014-07-07,0,0,0,1,7,2,28,2
2014-07-08,0,0,0,1,8,3,28,2
2014-07-09,0,0,0,1,9,4,28,2
2014-07-10,0,1,0,1,10,5,28,2
2014-07-11,0,1,0,1,11,6,28,2
2014-07-12,0,1,0,1,12,7,28,2
2014-07-13,0,0,0,1,13,1,29,3
2014-07-14,0,0,0,1,14,2,29,3
2014-07-15,0,0,0,1,15,3,29,3
2014-07-16,0,0,0,1,16,4,29,3
2014-07-17,0,1,0,1,17,5,29,3
2014-07-18,0,1,0,1,18,6,29,3
2014-07-19,0,1,0,1,19,7,29,3
2014-07-20,0,0,0,1,20,1,30,4
2014-07-21,0,0,0,1,21,2,30,4
2014-07-22,0,0,0,1,22,3,30,4
2014-07-23,0,0,0,1,23,4,30,4
2014-07-24,0,1,0,1,24,5,30,4
2014-07-25,1,1,0,1,25,6,30,4
2014-07-26,1,1,0,1,26,7,30,4
2014-07-27,1,0,0,1,27,1,31,5
2014-07-28,1,0,1,1,28,2,31,5
2014-07-29,1,0,1,1,29,3,31,5
2014-07-30,1,0,0,0,30,4,31,5
2014-07-31,1,1,0,0,31,5,31,5
2014-08-01,1,1,0,0,1,6,31,5
2014-08-02,1,1,0,0,2,7,31,5
2014-08-03,0,0,0,0,3,1,32,6
2014-08-04,0,0,0,0,4,2,32,6
2014-08-05,0,0,0,0,5,3,32,6
2014-08-06,0,0,0,0,6,4,32,6
2014-08-07,0,1,0,0,7,5,32,6
2014-08-08,0,1,0,0,8,6,32,6
2014-08-09,0,1,0,0,9,7,32,6
2014-08-10,0,0,0,0,10,1,33,7
2014-08-11,0,0,0,0,11,2,33,7
2014-08-12,0,0,0,0,12,3,33,7
2014-08-13,0,0,0,0,13,4,33,7
2014-08-14,0,1,0,0,14,5,33,7
2014-08-15,0,1,0,0,15,6,33,7
2014-08-16,0,1,0,0,16,7,33,7
2014-08-17,0,0,0,0,17,1,34,8
2014-08-18,0,0,0,0,18,2,34,8
2014-08-19,0,0,0,0,19,3,34,8
2014-08-20,0,0,0,0,20,4,34,8
2014-08-21,0,1,0,0,21,5,34,8
2014-08-22,0,1,0,0,22,6,34,8
2014-08-23,0,1,0,0,23,7,34,8
2014-08-24,0,0,0,0,24,1,35,9
2014-08-25,1,0,0,0,25,2,35,9
2014-08-26,1,0,0,0,26,3,35,9
2014-08-27,1,0,0,0,27,4,35,9
2014-08-28,1,1,0,0,28,5,35,9
2014-08-29,1,1,0,0,29,6,35,9
2014-08-30,1,1,0,0,30,7,35,9
2014-08-31,1,0,0,0,31,1,36,10
2014-09-01,1,0,0,0,1,2,36,10
2014-09-02,1,0,0,0,2,3,36,10
2014-09-03,0,0,0,0,3,4,36,10
2014-09-04,0,1,0,0,4,5,36,10
2014-09-05,0,1,0,0,5,6,36,10
2014-09-06,0,1,0,0,6,7,36,10
2014-09-07,0,0,0,0,7,1,37,11
2014-09-08,0,0,0,0,8,2,37,11
2014-09-09,0,0,0,0,9,3,37,11
2014-09-10,0,0,0,0,10,4,37,11
2014-09-11,0,1,0,0,11,5,37,11
2014-09-12,0,1,0,0,12,6,37,11
2014-09-13,0,1,0,0,13,7,37,11
2014-09-14,0,0,0,0,14,1,38,12
2014-09-15,0,0,0,0,15,2,38,12
2014-09-16,0,0,0,0,16,3,38,12
2014-09-17,0,0,0,0,17,4,38,12
2014-09-18,0,1,0,0,18,5,38,12
2014-09-19,0,1,0,0,19,6,38,12
2014-09-20,0,1,0,0,20,7,38,12
2014-09-21,0,0,0,0,21,1,39,13
2014-09-22,0,0,0,0,22,2,39,13
2014-09-23,0,0,0,0,23,3,39,13
2014-09-24,0,0,0,0,24,4,39,13
2014-09-25,1,1,0,0,25,5,39,13
2014-09-26,1,1,0,0,26,6,39,13
2014-09-27,1,1,0,0,27,7,39,13
2014-09-28,1,0,0,0,28,1,40,14
2014-09-29,1,0,0,0,29,2,40,14
2014-09-30,1,0,0,0,30,3,40,14
2014-10-01,1,0,0,0,1,4,40,1
2014-10-02,1,1,0,0,2,5,40,1
2014-10-03,0,1,1,1,3,6,40,1
2014-10-04,0,1,1,1,4,7,40,1
2014-10-05,0,0,1,1,5,1,41,2
2014-10-06,0,0,1,1,6,2,41,2
2014-10-07,0,0,0,0,7,3,41,2
2014-10-08,0,0,0,0,8,4,41,2
2014-10-09,0,1,0,0,9,5,41,2
2014-10-10,0,1,0,0,10,6,41,2
2014-10-11,0,1,0,0,11,7,41,2
